displayName,teamName,userId,matchupId,week,pointsFor,pointsAgainst,outcome,starterIds
paucci,"The Bottery Barn",411948014546997248,3,1,94.34,117.5,LOSS,"7591,9509,6845,8144,11632,9997,6865,5927,2747,HOU"
paucci,"The Bottery Barn",411948014546997248,4,2,135.04,142.6,LOSS,"11566,9509,6845,8144,11632,9997,6865,5927,11539,HOU"
paucci,"The Bottery Barn",411948014546997248,4,3,153.76,157.48,LOSS,"11566,9509,6845,8144,11632,9997,1339,6801,4195,GB"
paucci,"The Bottery Barn",411948014546997248,2,4,126.22,130.08,LOSS,"11566,9509,6845,8144,11632,9997,1339,6801,17,TEN"
paucci,"The Bottery Barn",411948014546997248,1,5,118.22,149.02,LOSS,"11566,9509,11655,6801,9486,5927,1339,8144,2747,NE"
paucci,"The Bottery Barn",411948014546997248,6,6,187.26,102,WIN,"11566,9509,8155,9502,9997,8144,4066,11655,11539,TB"
paucci,"The Bottery Barn",411948014546997248,6,7,93.64,161.8,LOSS,"11566,9509,8155,9502,9997,11632,4066,6845,11539,MIA"
paucci,"The Bottery Barn",411948014546997248,6,8,137.04,102.38,WIN,"11566,9509,8155,9502,11620,8144,4066,11632,3678,BUF"
paucci,"The Bottery Barn",411948014546997248,6,9,123.46,164.7,LOSS,"11566,9509,8155,9502,11632,8144,4066,11655,11058,NE"
paucci,"The Bottery Barn",411948014546997248,4,10,119.78,122.64,LOSS,"11566,9509,11655,9502,11632,11895,4066,5001,4195,NE"
paucci,"The Bottery Barn",411948014546997248,3,11,91.44,100.64,LOSS,"11566,9509,5248,11624,10444,7569,4066,9502,3678,NO"
paucci,"The Bottery Barn",411948014546997248,3,12,102.48,142.92,LOSS,"9229,11583,11655,10444,11618,11632,5001,9756,3678,CHI"
paucci,"The Bottery Barn",411948014546997248,4,13,139.7,108.1,WIN,"4943,9509,11655,5086,8112,11632,4381,9756,7839,CIN"
paucci,"The Bottery Barn",411948014546997248,4,14,181.98,98.92,WIN,"4943,9509,11655,5086,8112,11632,7002,9756,8258,CIN"
RhrisCectenwald,"McBride Parade",867853751434780672,6,1,145.58,128.28,WIN,"4984,5892,7611,7564,2133,7525,8130,5045,1264,LAC"
RhrisCectenwald,"McBride Parade",867853751434780672,5,2,145.36,123.74,WIN,"4984,5892,7611,7564,2133,7525,8130,5045,1264,LAC"
RhrisCectenwald,"McBride Parade",867853751434780672,6,3,119.62,87.22,WIN,"4984,5892,7611,8676,2133,7525,8130,7564,1264,LAC"
RhrisCectenwald,"McBride Parade",867853751434780672,5,4,104.7,112.8,LOSS,"4984,5892,7611,7090,5045,8676,5001,7564,1264,KC"
RhrisCectenwald,"McBride Parade",867853751434780672,6,5,176.84,118.44,WIN,"4984,8132,7611,7090,5045,8676,8130,7564,1264,DEN"
RhrisCectenwald,"McBride Parade",867853751434780672,3,6,134,134.36,LOSS,"4984,5892,6945,7090,6149,7525,8130,7564,1264,DEN"
RhrisCectenwald,"McBride Parade",867853751434780672,4,7,110.82,147.26,LOSS,"4984,5892,7611,7090,7564,7525,8130,2133,1264,DEN"
RhrisCectenwald,"McBride Parade",867853751434780672,5,8,163.44,115.24,WIN,"4984,5892,7611,2133,7564,7525,8130,7090,1264,DEN"
RhrisCectenwald,"McBride Parade",867853751434780672,6,9,164.7,123.46,WIN,"4984,5892,7611,2133,7564,7090,8130,7525,1264,TEN"
RhrisCectenwald,"McBride Parade",867853751434780672,1,10,136.1,125.4,WIN,"4984,5892,7611,2133,7564,7090,8130,7525,1264,ATL"
RhrisCectenwald,"McBride Parade",867853751434780672,2,11,154.48,172.64,LOSS,"4984,5892,8138,5045,7564,7090,5010,7525,1264,LAR"
RhrisCectenwald,"McBride Parade",867853751434780672,6,12,141.9,140.36,WIN,"11566,5892,7611,5045,PLAYER_ID,4981,8130,7596,1264,TB"
RhrisCectenwald,"McBride Parade",867853751434780672,5,13,151.52,203.6,LOSS,"4984,5892,8138,5045,7564,4981,8130,7611,1264,TB"
RhrisCectenwald,"McBride Parade",867853751434780672,6,14,186.08,144.8,WIN,"4984,5892,8138,7525,7564,4981,8130,8228,7042,TEN"
N888,"Nick Chubb Truther ",872211926518833152,3,1,117.5,94.34,WIN,"6804,8151,4035,8146,9493,5937,10236,5967,7042,BAL"
N888,"Nick Chubb Truther ",872211926518833152,3,2,123.5,104.94,WIN,"6768,9753,4035,8146,2197,5937,10236,5967,7042,BAL"
N888,"Nick Chubb Truther ",872211926518833152,3,3,132.16,122,WIN,"1373,9753,4035,8146,2197,5937,10236,5967,7042,BAL"
N888,"Nick Chubb Truther ",872211926518833152,1,4,163.96,113.74,WIN,"6804,8151,4035,8146,8117,5937,10236,5967,7042,BAL"
N888,"Nick Chubb Truther ",872211926518833152,2,5,131.26,158.58,LOSS,"6804,8151,4035,8146,8117,5937,10236,11623,7042,BAL"
N888,"Nick Chubb Truther ",872211926518833152,5,6,161.62,138.66,WIN,"6804,8151,4035,8146,8117,5937,10236,5967,7042,HOU"
N888,"Nick Chubb Truther ",872211926518833152,5,7,97,117,LOSS,"6804,8151,4035,8146,11623,5937,10236,5967,7042,BAL"
N888,"Nick Chubb Truther ",872211926518833152,5,8,115.24,163.44,LOSS,"6804,8151,4035,8146,8117,10213,8111,5967,7042,BAL"
N888,"Nick Chubb Truther ",872211926518833152,5,9,167.22,125.24,WIN,"421,8151,4035,8146,8117,9493,8111,5967,7042,BAL"
N888,"Nick Chubb Truther ",872211926518833152,3,10,110.72,133.68,LOSS,"421,5967,4035,8146,7049,9493,8111,10236,7042,BAL"
N888,"Nick Chubb Truther ",872211926518833152,4,11,131.98,128.5,WIN,"6797,8151,4035,8146,7049,9493,5001,4988,7042,MIA"
N888,"Nick Chubb Truther ",872211926518833152,3,12,142.92,102.48,WIN,"6797,8151,5967,7571,7049,9493,8111,4988,4195,MIA"
N888,"Nick Chubb Truther ",872211926518833152,3,13,85.78,138.96,LOSS,"6797,8151,5967,8146,7049,9493,8111,4035,4195,MIA"
N888,"Nick Chubb Truther ",872211926518833152,3,14,149.02,125.76,WIN,"6797,4988,5967,8146,7049,9493,8111,4035,4195,MIA"
zmaster195,"Butker’s Homemakers",380919493855330304,4,1,148.84,108.96,WIN,"4046,4866,7543,8137,4037,8134,1466,2749,10937,NYJ"
zmaster195,"Butker’s Homemakers",380919493855330304,3,2,104.94,123.5,LOSS,"4046,4866,7543,8137,4037,11637,1466,6783,10937,NYJ"
zmaster195,"Butker’s Homemakers",380919493855330304,4,3,157.48,153.76,WIN,"4046,4866,6130,8137,4037,8134,1466,7543,10937,NYJ"
zmaster195,"Butker’s Homemakers",380919493855330304,5,4,112.8,104.7,WIN,"4046,4866,6130,8137,4037,8134,1466,7543,10937,NYJ"
zmaster195,"Butker’s Homemakers",380919493855330304,5,5,101.94,114.46,LOSS,"4046,7543,2749,8137,4037,11637,1466,6783,10937,NYJ"
zmaster195,"Butker’s Homemakers",380919493855330304,1,6,89.3,123.22,LOSS,"1166,7543,4866,8137,4037,6783,7600,8134,11949,NYJ"
zmaster195,"Butker’s Homemakers",380919493855330304,2,7,121.36,87.74,WIN,"9229,9225,4866,8137,8134,6783,1466,4037,1433,NYJ"
zmaster195,"Butker’s Homemakers",380919493855330304,3,8,152.56,134.44,WIN,"11563,9225,4866,8137,8134,6783,1466,2749,1433,NYJ"
zmaster195,"Butker’s Homemakers",380919493855330304,4,9,123.82,153.1,LOSS,"11563,2749,4866,11637,8134,6783,1466,9225,1433,NO"
zmaster195,"Butker’s Homemakers",380919493855330304,5,10,114.5,78.04,WIN,"11563,2749,4866,9754,8134,8137,1466,9225,10937,NO"
zmaster195,"Butker’s Homemakers",380919493855330304,5,11,159.58,106.06,WIN,"11563,7543,4866,6783,8134,8137,1466,11579,10937,HOU"
zmaster195,"Butker’s Homemakers",380919493855330304,4,12,152.42,101.3,WIN,"11563,6130,2359,6783,9754,8137,1466,4866,10937,HOU"
zmaster195,"Butker’s Homemakers",380919493855330304,3,13,138.96,85.78,WIN,"11563,4866,7543,6783,8134,8137,1466,11834,8670,HOU"
zmaster195,"Butker’s Homemakers",380919493855330304,4,14,98.92,181.98,LOSS,"9999,4866,7543,6783,8134,8125,1466,8220,8259,ATL"
bsura,"Let’s Go Brandon",741159707867312128,6,1,128.28,145.58,LOSS,"9229,8408,5850,2216,6819,10229,4066,4082,7839,SEA"
bsura,"Let’s Go Brandon",741159707867312128,6,2,105.36,109.06,LOSS,"9229,8408,5850,2216,6819,10229,5032,8126,7839,SEA"
bsura,"Let’s Go Brandon",741159707867312128,5,3,102.28,147.6,LOSS,"9229,7588,5850,2216,6819,10229,5857,8408,7839,SEA"
bsura,"Let’s Go Brandon",741159707867312128,6,4,123.34,191.2,LOSS,"9229,8408,5850,2216,6819,8126,6865,10229,7839,MIA"
bsura,"Let’s Go Brandon",741159707867312128,5,5,114.46,101.94,WIN,"4943,8408,5850,2216,6819,8126,4033,4098,7839,MIA"
bsura,"Let’s Go Brandon",741159707867312128,4,6,95.5,131.72,LOSS,"7591,8408,5850,2216,6819,8126,5001,5096,7839,BUF"
bsura,"Let’s Go Brandon",741159707867312128,3,7,111.66,148.16,LOSS,"4046,8408,5850,2216,6819,8126,7600,4098,7839,BUF"
bsura,"Let’s Go Brandon",741159707867312128,6,8,102.38,137.04,LOSS,"4046,8408,5850,4039,6819,8126,7600,4098,7839,KC"
bsura,"Let’s Go Brandon",741159707867312128,5,9,125.24,167.22,LOSS,"4046,4098,5850,4039,9486,8126,4993,6819,7839,KC"
bsura,"Let’s Go Brandon",741159707867312128,2,10,103.84,125.02,LOSS,"4046,4098,4034,4039,3200,8126,4993,5022,7839,KC"
