teamName,pointsFor,week
"Your mom",75.4,1
"Big D",121.5,1
"Mr. Roboto",93.7,1
"Puppet Master",97.1,1
"Hurricane Ditka",82.0,1
"Lady Luck's Leprechauns",58.35,1
"Santas Naughty Elfs",102.75,1
"Team M.J.",69.8,1
"Wreck It Ralphs",83.65,1
"Globo Gym",79.0,1
"KVWN San Diego",116.3,1
"Sussy for Russy",71.0,1
"Globo Gym",73.9,2
"Your mom",73.95,2
"Hurricane Ditka",75.5,2
"Mr. Roboto",140.4,2
"Puppet Master",54.85,2
"Santas Naughty Elfs",102.15,2
"Lady Luck's Leprechauns",75.65,2
"Wreck It Ralphs",68.55,2
"Team M.J.",85.7,2
"KVWN San Diego",102.85,2
"Sussy for Russy",118.8,2
"Big D",80.15,2
"Your mom",126.55,3
"Lady Luck's Leprechauns",89.25,3
"Mr. Roboto",79.65,3
"Santas Naughty Elfs",61.0,3
"Wreck It Ralphs",68.9,3
"Hurricane Ditka",136.2,3
"KVWN San Diego",71.85,3
"Puppet Master",84.3,3
"Big D",65.5,3
"Team M.J.",121.8,3
"Sussy for Russy",84.85,3
"Globo Gym",71.35,3
"Hurricane Ditka",102.9,4
"Your mom",85.3,4
"Wreck It Ralphs",100.3,4
"Mr. Roboto",55.7,4
"Santas Naughty Elfs",107.9,4
"KVWN San Diego",73.45,4
"Puppet Master",79.0,4
"Big D",53.65,4
"Lady Luck's Leprechauns",64.65,4
"Sussy for Russy",73.75,4
"Team M.J.",93.55,4
"Globo Gym",78.9,4
"Your mom",106.5,5
"Wreck It Ralphs",90.8,5
"Mr. Roboto",94.45,5
"KVWN San Diego",125.5,5
"Big D",104.7,5
"Santas Naughty Elfs",120.3,5
"Sussy for Russy",74.75,5
"Hurricane Ditka",108.45,5
"Globo Gym",91.65,5
"Puppet Master",67.75,5
"Team M.J.",100.7,5
"Lady Luck's Leprechauns",74.05,5
"Your mom",89.5,6
"Mr. Roboto",122.7,6
"KVWN San Diego",56.2,6
"Big D",120.3,6
"Wreck It Ralphs",92.65,6
"Sussy for Russy",86.35,6
"Santas Naughty Elfs",126.65,6
"Globo Gym",85.5,6
"Hurricane Ditka",115.5,6
"Team M.J.",80.05,6
"Puppet Master",98.85,6
"Lady Luck's Leprechauns",59.25,6
"Sussy for Russy",78.95,7
"Your mom",98.9,7
"Mr. Roboto",95.95,7
"Big D",91.1,7
"Globo Gym",86.7,7
"KVWN San Diego",88.6,7
"Team M.J.",84.0,7
"Wreck It Ralphs",67.7,7
"Lady Luck's Leprechauns",77.4,7
"Santas Naughty Elfs",85.65,7
"Puppet Master",94.65,7
"Hurricane Ditka",102.15,7
"Your mom",107.6,8
"Team M.J.",120.3,8
"Sussy for Russy",93.7,8
"Mr. Roboto",92.25,8
"Big D",108.55,8
"Globo Gym",83.55,8
"KVWN San Diego",102.0,8
"Lady Luck's Leprechauns",105.3,8
"Wreck It Ralphs",72.9,8
"Puppet Master",94.15,8
"Santas Naughty Elfs",139.7,8
"Hurricane Ditka",70.8,8
"Puppet Master",88.25,9
"Your mom",83.8,9
"Mr. Roboto",96.5,9
"Globo Gym",69.75,9
"Team M.J.",112.45,9
"Sussy for Russy",103.55,9
"Lady Luck's Leprechauns",86.1,9
"Big D",135.85,9
"Hurricane Ditka",101.45,9
"KVWN San Diego",105.75,9
"Santas Naughty Elfs",90.9,9
"Wreck It Ralphs",74.85,9
"Your mom",132.7,10
"Santas Naughty Elfs",85.1,10
"Team M.J.",56.3,10
"Mr. Roboto",94.6,10
"Globo Gym",81.6,10
"Lady Luck's Leprechauns",50.6,10
"Sussy for Russy",78.15,10
"Puppet Master",96.2,10
"Big D",70.15,10
"Hurricane Ditka",94.2,10
"KVWN San Diego",78.75,10
"Wreck It Ralphs",76.75,10
"KVWN San Diego",100.95,11
"Your mom",86.95,11
"Mr. Roboto",58.45,11
"Lady Luck's Leprechauns",80.7,11
"Puppet Master",75.7,11
"Team M.J.",96.95,11
"Hurricane Ditka",79.6,11
"Globo Gym",109.55,11
"Santas Naughty Elfs",118.25,11
"Sussy for Russy",71.15,11
"Wreck It Ralphs",61.15,11
"Big D",113.3,11
"Big D",128.2,12
"Your mom",65.85,12
"Puppet Master",122.05,12
"Mr. Roboto",67.35,12
"Lady Luck's Leprechauns",75.35,12
"Hurricane Ditka",100.25,12
"Team M.J.",110.45,12
"Santas Naughty Elfs",98.75,12
"Globo Gym",91.0,12
"Wreck It Ralphs",102.4,12
"Sussy for Russy",69.1,12
"KVWN San Diego",72.75,12
"Your mom",103.2,13
"Globo Gym",65.35,13
"Mr. Roboto",51.3,13
"Hurricane Ditka",107.85,13
"Santas Naughty Elfs",98.65,13
"Puppet Master",120.2,13
"Wreck It Ralphs",99.9,13
"Lady Luck's Leprechauns",107.4,13
"KVWN San Diego",83.6,13
"Team M.J.",96.0,13
"Big D",80.65,13
"Sussy for Russy",98.8,13
"Lady Luck's Leprechauns",63.9,14
"Your mom",121.1,14
"Santas Naughty Elfs",108.1,14
"Mr. Roboto",91.25,14
"Hurricane Ditka",89.45,14
"Wreck It Ralphs",90.25,14
"Puppet Master",119.2,14
"KVWN San Diego",108.8,14
"Team M.J.",91.0,14
"Big D",119.15,14
"Globo Gym",99.05,14
"Sussy for Russy",89.5,14
