displayName,teamName,userId,matchupId,week,pointsFor,pointsAgainst,outcome,starterIds
eplea18,"Eplea",460711632964677632,6,1,115.38,84.22,WIN,"5849,9221,8150,7526,4039,11604,9502,GB"
eplea18,"Eplea",460711632964677632,5,2,106.14,137.24,LOSS,"5849,9221,8150,7526,4039,11604,9502,CHI"
eplea18,"Eplea",460711632964677632,6,3,87.68,112.5,LOSS,"5849,9221,8150,9502,8676,11604,8148,CHI"
eplea18,"Eplea",460711632964677632,5,4,100.08,136.54,LOSS,"5849,9221,8150,8148,8676,11604,11576,GB"
eplea18,"Eplea",460711632964677632,6,5,111.9,65.36,WIN,"5849,11584,8150,7526,8676,11604,11576,GB"
eplea18,"Eplea",460711632964677632,3,6,99.06,155.1,LOSS,"5849,11584,9221,8148,8142,11604,9502,GB"
eplea18,"Eplea",460711632964677632,4,7,106.18,73.9,WIN,"1373,8150,9221,8148,9501,11604,9502,GB"
eplea18,"Eplea",460711632964677632,5,8,96.88,116.22,LOSS,"1373,8150,9221,4039,7526,11604,9502,GB"
eplea18,"Eplea",460711632964677632,6,9,88.82,120.3,LOSS,"11563,8150,9221,4039,7526,11604,9501,GB"
eplea18,"Eplea",460711632964677632,1,10,83.54,98.7,LOSS,"5849,8150,9221,4039,8148,4993,9501,ATL"
eplea18,"Eplea",460711632964677632,2,11,167.98,125.44,WIN,"11563,8150,9221,4039,8148,11604,9502,DEN"
eplea18,"Eplea",460711632964677632,6,12,130.32,98.46,WIN,"11563,8150,9221,4039,8148,11604,11584,DEN"
eplea18,"Eplea",460711632964677632,5,13,127.86,130.64,LOSS,"11563,8150,9221,4039,8148,11604,11584,DEN"
eplea18,"Eplea",460711632964677632,6,14,94.02,77.78,WIN,"4574,8150,9221,4039,8148,11604,11584,DEN"
selmore,"Megatron’s Johnson ",603436250984161280,1,1,97.18,105.36,LOSS,"9229,8136,4018,7547,8112,6826,6790,PIT"
selmore,"Megatron’s Johnson ",603436250984161280,1,2,79.76,117.44,LOSS,"9229,8136,4018,7547,8112,8131,3164,PIT"
selmore,"Megatron’s Johnson ",603436250984161280,1,3,81.28,65.7,WIN,"9229,8136,6938,7547,8112,8131,6790,PIT"
selmore,"Megatron’s Johnson ",603436250984161280,1,4,88.16,63.9,WIN,"3163,8136,6938,7547,8112,8131,11620,PIT"
selmore,"Megatron’s Johnson ",603436250984161280,1,5,136.04,110.32,WIN,"7591,8136,7593,8112,11620,9484,6790,PIT"
selmore,"Megatron’s Johnson ",603436250984161280,1,6,132.7,103.12,WIN,"3163,6790,4018,8112,7547,9484,7593,PIT"
selmore,"Megatron’s Johnson ",603436250984161280,1,7,135.4,109.78,WIN,"3163,8136,4018,8112,7547,9484,9500,PIT"
selmore,"Megatron’s Johnson ",603436250984161280,1,8,127.4,135.94,LOSS,"3163,8136,4018,8112,7547,9484,6790,PIT"
selmore,"Megatron’s Johnson ",603436250984161280,1,9,86.8,117.44,LOSS,"3163,6790,4018,8112,7547,9484,9500,NO"
selmore,"Megatron’s Johnson ",603436250984161280,1,10,98.7,83.54,WIN,"3163,6790,4018,8112,7547,5022,9500,PIT"
selmore,"Megatron’s Johnson ",603436250984161280,1,11,169.58,102.64,WIN,"3163,6790,4018,8112,7547,5022,9500,NO"
selmore,"Megatron’s Johnson ",603436250984161280,1,12,65.26,133.3,LOSS,"3163,6790,4018,9500,7547,5022,8136,PIT"
selmore,"Megatron’s Johnson ",603436250984161280,1,13,118.14,138.94,LOSS,"3163,6790,4018,8112,7547,5022,8136,PIT"
